,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
0,37.76931,-122.43386,Apartment,Entire home/apt,1.0,1.0,1,170.0
1,37.75402,-122.45805,House,Private room,1.0,1.0,1,99.0
2,37.74511,-122.42102,Apartment,Entire home/apt,1.0,2.0,30,235.0
3,37.75874,-122.41327,House,Entire home/apt,1.0,2.0,30,225.0
4,37.79143,-122.41544,Apartment,Entire home/apt,1.0,0.0,30,120.0
5,37.78574,-122.40798,Apartment,Entire home/apt,1.5,1.0,30,139.0
6,37.76075,-122.43032,Apartment,Private room,1.0,1.0,3,79.0
7,37.77252,-122.43216,Townhouse,Private room,1.0,1.0,2,110.0
8,37.74885,-122.43673,Apartment,Entire home/apt,1.0,1.0,3,180.0
9,37.77162,-122.43836,Apartment,Private room,1.0,1.0,1,79.0
10,37.78716,-122.43386,Guest suite,Entire home/apt,1.0,1.0,5,195.0
11,37.77729,-122.43421,Townhouse,Private room,1.0,1.0,3,110.0
12,37.77478,-122.4315,Apartment,Entire home/apt,2.0,4.0,2,450.0
13,37.73729,-122.41163,House,Entire home/apt,2.0,2.0,4,220.0
14,37.77931,-122.50518,Apartment,Entire home/apt,1.0,1.0,2,155.0
15,37.74025,-122.41259,Apartment,Entire home/apt,1.0,1.0,30,150.0
16,37.78255,-122.44844,Apartment,Private room,1.0,1.0,30,67.0
17,37.75611,-122.41866,Apartment,Entire home/apt,1.0,2.0,30,290.0
18,37.73557,-122.43302,House,Entire home/apt,1.0,0.0,30,136.0
19,37.75447,-122.38813,Guest suite,Entire home/apt,1.0,2.0,30,150.0
20,37.75121,-122.42165,Apartment,Entire home/apt,1.0,1.0,30,175.0
21,37.79312,-122.426,Apartment,Private room,1.0,1.0,30,55.0
22,37.73878,-122.41189,House,Private room,1.0,1.0,3,90.0
23,37.7933,-122.40079,Condominium,Entire home/apt,1.5,1.0,30,185.0
24,37.79216,-122.42458,Apartment,Private room,1.0,1.0,30,55.0
25,37.7472,-122.41443,Apartment,Entire home/apt,1.0,1.0,30,175.0
26,37.75762,-122.41933,Apartment,Private room,1.0,1.0,30,99.0
27,37.74565,-122.42864,Guest suite,Entire home/apt,1.0,1.0,2,135.0
28,37.8031,-122.41596,Condominium,Private room,1.0,1.0,2,109.0
29,37.74209,-122.41409,Cottage,Private room,1.0,1.0,30,150.0
30,37.76966,-122.43496,House,Entire home/apt,2.0,3.0,4,475.0
31,37.74183,-122.42993,Apartment,Private room,1.0,1.0,2,85.0
32,37.74926,-122.41398,Guest suite,Entire home/apt,1.0,1.0,2,166.0
33,37.80317,-122.42874,Apartment,Private room,1.0,1.0,30,90.0
