,bedrooms,room_type_Private room,bathrooms,room_type_Shared room,latitude,property_type_House,minimum_nights,longitude,predicted,price,off,new_price
0,1.0,0,1.0,0,37.76931,0,1,-122.43386,122.35570732293864,170.0,True,122.35570732293864
1,1.0,1,1.0,0,37.75402,1,1,-122.45805,91.96384083348569,99.0,False,99.0
2,2.0,0,1.0,0,37.74511,0,30,-122.42102,222.61326609077645,235.0,False,235.0
3,1.0,1,1.0,0,37.76669,0,31,-122.4525,80.05655413019285,65.0,False,65.0
4,1.0,1,1.0,0,37.76487,0,31,-122.45183,78.20730364343272,65.0,False,65.0
5,2.0,0,1.5,0,37.77525,1,6,-122.43637,268.80086920446826,875.0,True,268.80086920446826
6,1.0,1,1.0,0,37.75919,0,1,-122.42237,113.20074081280065,139.0,True,113.20074081280065
7,1.0,1,1.0,0,37.76259,1,1,-122.40543,80.32685872869389,135.0,True,80.32685872869389
8,2.0,0,1.0,0,37.75874,1,30,-122.41327,219.39080892661906,225.0,False,225.0
9,0.0,0,1.0,0,37.79143,0,30,-122.41544,134.38702340501376,120.0,False,120.0
10,3.0,0,1.0,0,37.77187,0,30,-122.43859,302.64621431437274,177.0,True,302.64621431437274
11,3.0,0,2.0,0,37.77355,0,30,-122.42436,345.63461542177765,194.0,True,345.63461542177765
12,1.0,0,1.5,0,37.78574,0,30,-122.40798,183.56700647508552,139.0,True,183.56700647508552
13,1.0,1,1.0,0,37.77019,0,31,-122.44594,79.39146636704984,85.0,False,85.0
14,1.0,1,1.0,0,37.76894,0,31,-122.44778,79.25032132581097,85.0,False,85.0
15,1.0,1,1.0,0,37.76075,0,3,-122.43032,93.07304477789862,79.0,False,79.0
16,2.0,0,1.0,0,37.76203,0,30,-122.45455,251.8515933245985,122.0,True,251.8515933245985
17,1.0,0,1.0,0,37.75491,0,3,-122.42246,173.72558698235602,215.0,True,173.72558698235602
18,2.0,0,2.0,0,37.78647,0,31,-122.39072,267.07496538852513,450.0,True,267.07496538852513
19,0.0,0,1.0,0,37.74888,0,30,-122.42982,139.92060875476443,107.0,True,139.92060875476443
20,1.0,1,1.0,0,37.77252,0,2,-122.43216,102.97037408231581,110.0,False,110.0
21,1.0,0,1.0,0,37.7958,0,30,-122.41533,164.57329598217902,125.0,True,164.57329598217902
